Mother Reg #,Father Reg #,Child Reg #,Registration #,Registered Name,Sex,Call Name,Color,Birthday,DNA Info,CHIC #,Hips,Registration Type,OFA Link
PR00288710,PP54354607,PR07821005,PR01965808,Ruby Red O'Shannon,Female,Unknown,Red,4/17/2003,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1134755
PP25464401,PC105765,PP64726509,PP45058008,Landmark Carob's Delight,Male,Unknown,Brown,4/18/1995,AKC DNA #V182978,14569,Good,AKC,https://www.ofa.org/advanced-search?appnum=756608
PP48368713,PP43434103,PP64726509,PP54169214,MKM Friendships Joyous Noel,Female,Unknown,Apricot,1/10/1998,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=811523
PB706954,PB506065,PP45058008,PC105765,Celest Bronze Knight,Male,Unknown,Chocolate,3/16/1987,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=364609
Unknown,Unknown,PP45058008,PP25464401,Landmark Mayfair Nestle,Female,Unknown,Chocolate,3/26/1990,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=413923
PB098258,PB295651,PC105765,PB506065,CH Valtec Carbonado,Male,Unknown,Black,2/18/1981,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=153459
Unknown,Unknown,PC105765,PB706954,Celest Marron Glace,Female,Unknown,Brown,2/10/1983,None,None,Unknown,AKC,
Unknown,Unknown,PB506065,PB295651,CH Lemerle Le Charbonnier,Male,Unknown,Black,5/2/1977,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=111166
Unknown,Unknown,PB506065,PB098258,Funtyme Tourmaline Of Valtec,Female,Unknown,Black,1/15/1977 or 12/14/1976,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=108926
PP26696902,PP24559601,PP54169214,PP43434103,Friendships Raiding Saxon,Male,Unknown,Black,1/10/1995,AKC DNA #V182976,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=663759
PP36594816,PP45272905,PP54169214,PP48368713,Friendships MKM Ladywind Too,Female,Unknown,Cream,5/14/1996,AKC DNA #V260558,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=687367
Unknown,Unknown,PP43434103,PP24559601,Vir Ami Buster,Male,Unknown,Black,4/11/1990,None,None,Unknown,AKC,
Unknown,Unknown,PP43434103,PP26696902,Prima Hollie Tenere,Female,Unknown,Apricot,11/6/1990,None,None,Unknown,AKC,
PP36301201,PC222475,PP48368713,PP45272905,Friendships Viking Ravenwind,Male,Unknown,Black,7/3/1995,AKC DNA #V182977,14843,Affected,AKC,https://www.ofa.org/advanced-search?appnum=679083
PC242263,PP25091303,PP48368713,PP36594816,Friendships Cassandra Too,Female,Unknown,Apricot,3/7/1993,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=679084
Unknown,Unknown,PP36594816,PP25091303,Wewin's Mon'amie,Male,Unknown,Black,7/12/1990,None,None,Unknown,AKC,
Unknown,Unknown,PP36594816,PC242263,Hendrickson's Cassandra,Female,Unknown,Brown,11/16/1989,None,None,Unknown,AKC,
Unknown,Unknown,PP45272905,PC222475,Brandy's Alexander VII,Male,Unknown,Black,7/25/1989,AKC DNA #V59415,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=410192
Unknown,Unknown,PP45272905,PP36301201,Lady Bess Of Bath,Female,Unknown,Black,7/15/1988,None,None,Unknown,AKC,
Unknown,Unknown,PR01965808,PP54354607,Gus Gus O'Shannon,Male,Unknown,Red,1/23/1998,AKC DNA #V265726,None,Unknown,AKC,
PP58102005,PP48210702,PR01965808,PR00288710,Roux Bijou,Female,Unknown,Red,4/7/2002,None,36028,Pennhip LDI=.28 RDI=.28,AKC,https://www.ofa.org/advanced-search?appnum=1085043
PP29133308,PP24896303,PR00288710,PP48210702,Mon Ami Le Bon Retrouver,Male,Unknown,Black,5/2/1996,AKC DNA #V165848,15914,Good,AKC,https://www.ofa.org/advanced-search?appnum=726012
PP46644001,PP38730404,PR00288710,PP58102005,Bijou Noire XIII,Female,Unknown,Black,3/9/1999,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1080310
Unknown,Unknown,PP48210702,PP24896303,Triumph's Gallant Chevalier,Male,Unknown,Apricot,7/15/1990,None,None,Unknown,AKC,
Unknown,Unknown,PP48210702,PP29133308,Nadeaus Daisy In Bloom,Female,Unknown,Black,5/6/1991,None,None,Unknown,AKC,
Unknown,Unknown,PP58102005,PP38730404,Torbec's Big Red Baby,Male,Unknown,Apricot,8/27/1993,None,None,Unknown,AKC,
Unknown,Unknown,PP58102005,PP46644001,Hannah's Ebony Destiny,Female,Unknown,Black,9/1/1995,None,None,Unknown,AKC,
Unknown,Unknown,PR09389306,PR02244901,Leatherstocking's Strawberry,Female,Unknown,Apricot,6/7/2003,None,None,Unknown,AKC,
PP45677503,PP49495801,PR02254301,PP52198202,Walter's Golden Tangelo,Female,Unknown,Unknown,Unknown,None,None,Unknown,AKC,
PP27639001,PP33473302,,PP49495801,Pierlyham Smalto Future Fire,Male,,,,,,,,
PP29189502,PP38447001,PP52198202,PP45677503,Majestic Golden Tasha,Female,,,,,,,,
PP24466004,PC091729,PP49495801,PP33473302,Majestic Fire King,Male,,,,,,,,
TW632769,PP334620,PP49495801,PP27639001,Torbec Hello Sunshine,Female,,,,,,,,
PB629973,PC016164,PP33473302,PC091729,Majestic Red Hot Shangri La,Male,,,,,,,,
PC116298,PC032452,PP33473302,PP24466004,Majestic Red Ruby,Female,,,,,,,,
PB700953,PB587807,PC091729,PC016164,Suntanned von Shangri La,Male,,,,,,,,
PB587646,PB370553,PC091729,PB629973,Ravena von Shangri La,Female,,,,,,,,
Unknown,Unknown,PC016164,PB587807,Desert Lion von Shangri La,Male,,,,,,,,
Unknown,Unknown,PC016164,PB700953,Sunrise Simone von Shangri La,Female,,,,,,,,
Unknown,Unknown,PB629973,PB370553,Crown Prince von Shangri La,Male,,,,,,,,
Unknown,Unknown,PB629973,PB587646,Windspiel von Shangri La,Female,,,,,,,,
PB910122,PB815400,,PC032452,Majestic Red Rebel Shangri La,Male,,,,,,,,
PB588535,PC032452,PP24466004,PC116298,Majestic Miss Scarlet,Female,,,,,,,,
Unknown,Unknown,PC032452,PB815400,Coquetel Apollo,Male,,,,,,,,
Unknown,Unknown,,PB910122,Love That Red von Shangri La,Female,,,,,,,,
Unknown,Unknown,PC116298,PB588535,Tropicana Von Shangri La,Female,,,,,,,,
Unknown,Unknown,PP27639001,PP334620,Aurelia Torbec Triple Orange,Male,,,,,,,,
Unknown,Unknown,PP27639001,TW632769,Torbec Let The Sunshine Win,Female,,,,,,,,
PP30887506,PB826550,PP45677503,PP38447001,Jasler's Majestic Macho Man,Male,,,,,,,,
PP09485201,PP25912301,PP45677503,PP29189502,Sheila's Sweet Cinnamon,Female,,,,,,,,
Unknown,Unknown,PP38447001,PB826550,Coquetel Cavalier,Male,,,,,,,,
Unknown,Unknown,PP38447001,PP30887506,Majestic Topaz Velvet,Female,,,,,,,,
Unknown,Unknown,PP29189502,PP25912301,Torbec Gold Medalist,Male,,,,,,,,
Unknown,Unknown,PP29189502,PP09485201,Majestic Cinnamon Lady,Female,,,,,,,,
PC190401,PC032452,PP56536803,PP29715101,Majestic Averina's Red Crystal,Female,,,,,,,,
PC166701,PB992727,PP29715101,PC190401,Averina's Majestic Minit Maid,Female,,,,,,,,
Unknown,Unknown,PC190401,PB992727,Majestic Mr Red von Shangri La,Male,,,,,,,,
Unknown,Unknown,PC190401,PC166701,Westbays Merry Duchess,Female,,,,,,,,
